PROGRAM	device-firmware-v51.bin
NOTE	This is Ghidra's current static classification, not a confirmed section map.
START	END	LENGTH	CLASS
001266a4	0012670f	0x6c	CODE
00126710	00126713	0x4	DATA
00126714	001268c7	0x1b4	CODE
001268c8	001268cf	0x8	DATA
001268d0	00126ce7	0x418	CODE
00126ce8	00126d19	0x32	DATA
00126d1a	00126d1b	0x2	UNDEFINED
00126d1c	00126d57	0x3c	DATA
00126d58	001275d3	0x87c	CODE
001275d4	00127640	0x6d	DATA
00127641	00127643	0x3	UNDEFINED
00127644	0012765f	0x1c	DATA
00127660	001277df	0x180	CODE
001277e0	0012780a	0x2b	DATA
0012780b	0012780b	0x1	UNDEFINED
0012780c	00127846	0x3b	DATA
00127847	00127847	0x1	UNDEFINED
00127848	00127853	0xc	DATA
00127854	001278bf	0x6c	CODE
001278c0	001278d8	0x19	DATA
001278d9	001278db	0x3	UNDEFINED
001278dc	001278ee	0x13	DATA
001278ef	001278ef	0x1	UNDEFINED
001278f0	00127923	0x34	CODE
00127924	0012792b	0x8	DATA
0012792c	00127cb3	0x388	CODE
00127cb4	00127cdf	0x2c	DATA
00127ce0	00127e1b	0x13c	CODE
00127e1c	00127e2f	0x14	DATA
00127e30	00127e97	0x68	CODE
00127e98	00127e9b	0x4	DATA
00127e9c	00127f43	0xa8	CODE
00127f44	00127f5b	0x18	DATA
00127f5c	00127faf	0x54	CODE
00127fb0	00127fb3	0x4	DATA
00127fb4	00127fff	0x4c	UNDEFINED
00128000	00128057	0x58	CODE
00128058	0012806f	0x18	UNDEFINED
00128070	001281e3	0x174	CODE
001281e4	001281fb	0x18	DATA
001281fc	001286ef	0x4f4	CODE
001286f0	001286f3	0x4	DATA
001286f4	00128907	0x214	CODE
00128908	0012890b	0x4	DATA
0012890c	00128ab3	0x1a8	CODE
00128ab4	00128ab7	0x4	DATA
00128ab8	00128b4f	0x98	CODE
00128b50	00128b53	0x4	DATA
00128b54	00128c8f	0x13c	CODE
00128c90	00128c9f	0x10	DATA
00128ca0	00128f8b	0x2ec	UNDEFINED
00128f8c	0012938b	0x400	CODE
0012938c	001293f7	0x6c	DATA
001293f8	00129697	0x2a0	CODE
00129698	001296d7	0x40	DATA
001296d8	001297c3	0xec	CODE
001297c4	001297e7	0x24	DATA
001297e8	001298cf	0xe8	CODE
001298d0	001298f7	0x28	DATA
001298f8	00129ad3	0x1dc	CODE
00129ad4	00129b02	0x2f	DATA
00129b03	00129b03	0x1	UNDEFINED
00129b04	00129b2a	0x27	DATA
00129b2b	00129b2b	0x1	UNDEFINED
00129b2c	00129cc3	0x198	CODE
00129cc4	00129cef	0x2c	DATA
00129cf0	00129d37	0x48	CODE
00129d38	00129d3b	0x4	DATA
00129d3c	00129f7b	0x240	CODE
00129f7c	00129fd3	0x58	DATA
00129fd4	0012a213	0x240	CODE
0012a214	0012a217	0x4	DATA
0012a218	0012a247	0x30	CODE
0012a248	0012a24f	0x8	DATA
0012a250	0012a4e3	0x294	CODE
0012a4e4	0012a4eb	0x8	DATA
0012a4ec	0012a5ab	0xc0	UNDEFINED
0012a5ac	0012a693	0xe8	CODE
0012a694	0012a6b4	0x21	DATA
0012a6b5	0012a6b7	0x3	UNDEFINED
0012a6b8	0012a6d4	0x1d	DATA
0012a6d5	0012a6d7	0x3	UNDEFINED
0012a6d8	0012a80b	0x134	CODE
0012a80c	0012a813	0x8	DATA
0012a814	0012a94f	0x13c	CODE
0012a950	0012a957	0x8	DATA
0012a958	0012ab7b	0x224	UNDEFINED
0012ab7c	0012abcf	0x54	CODE
0012abd0	0012abd7	0x8	DATA
0012abd8	0012ac37	0x60	CODE
0012ac38	0012ac3b	0x4	DATA
0012ac3c	0012ad5b	0x120	CODE
0012ad5c	0012ad63	0x8	DATA
0012ad64	0012af87	0x224	CODE
0012af88	0012af8b	0x4	DATA
0012af8c	0012b07f	0xf4	CODE
0012b080	0012b083	0x4	DATA
0012b084	0012b093	0x10	CODE
0012b094	0012b097	0x4	DATA
0012b098	0012b15f	0xc8	CODE
0012b160	0012b163	0x4	DATA
0012b164	0012b31f	0x1bc	CODE
0012b320	0012b32b	0xc	DATA
0012b32c	0012b377	0x4c	CODE
0012b378	0012b37b	0x4	DATA
0012b37c	0012b467	0xec	CODE
0012b468	0012b46f	0x8	DATA
0012b470	0012b647	0x1d8	CODE
0012b648	0012b64b	0x4	DATA
0012b64c	0012b65f	0x14	CODE
0012b660	0012b663	0x4	DATA
0012b664	0012b6f3	0x90	CODE
0012b6f4	0012b6f7	0x4	DATA
0012b6f8	0012b703	0xc	CODE
0012b704	0012b707	0x4	DATA
0012b708	0012b723	0x1c	CODE
0012b724	0012b727	0x4	DATA
0012b728	0012b79f	0x78	CODE
0012b7a0	0012b7a7	0x8	DATA
0012b7a8	0012b7eb	0x44	CODE
0012b7ec	0012b7ef	0x4	DATA
0012b7f0	0012b9a3	0x1b4	CODE
0012b9a4	0012b9af	0xc	DATA
0012b9b0	0012ba53	0xa4	CODE
0012ba54	0012ba57	0x4	DATA
0012ba58	0012bab3	0x5c	CODE
0012bab4	0012bab7	0x4	DATA
0012bab8	0012bacf	0x18	CODE
0012bad0	0012bad3	0x4	DATA
0012bad4	0012bc37	0x164	CODE
0012bc38	0012bc5e	0x27	DATA
0012bc5f	0012bc5f	0x1	UNDEFINED
0012bc60	0012bc67	0x8	DATA
0012bc68	0012bd5b	0xf4	CODE
0012bd5c	0012bd67	0xc	DATA
0012bd68	0012bd73	0xc	CODE
0012bd74	0012bd77	0x4	DATA
0012bd78	0012bd8b	0x14	CODE
0012bd8c	0012bd8f	0x4	DATA
0012bd90	0012be13	0x84	CODE
0012be14	0012be1b	0x8	DATA
0012be1c	0012bf77	0x15c	CODE
0012bf78	0012bf8b	0x14	DATA
0012bf8c	0012c0ab	0x120	CODE
0012c0ac	0012c0b4	0x9	DATA
0012c0b5	0012c0b7	0x3	UNDEFINED
0012c0b8	0012c0e3	0x2c	DATA
0012c0e4	0012c127	0x44	CODE
0012c128	0012c12b	0x4	DATA
0012c12c	0012c633	0x508	CODE
0012c634	0012c669	0x36	DATA
0012c66a	0012c66b	0x2	UNDEFINED
0012c66c	0012d607	0xf9c	CODE
0012d608	0012d630	0x29	DATA
0012d631	0012d633	0x3	UNDEFINED
0012d634	0012d63b	0x8	DATA
0012d63c	0012db97	0x55c	CODE
0012db98	0012dbab	0x14	DATA
0012dbac	0012e01b	0x470	CODE
0012e01c	0012e02b	0x10	DATA
0012e02c	0012e0a3	0x78	CODE
0012e0a4	0012e0a7	0x4	DATA
0012e0a8	0012e13b	0x94	CODE
0012e13c	0012e143	0x8	DATA
0012e144	0012e1f7	0xb4	CODE
0012e1f8	0012e1ff	0x8	DATA
0012e200	0012e26b	0x6c	CODE
0012e26c	0012e26f	0x4	DATA
0012e270	0012e2b7	0x48	CODE
0012e2b8	0012e2bb	0x4	DATA
0012e2bc	0012e2d3	0x18	CODE
0012e2d4	0012e2e3	0x10	DATA
0012e2e4	0012e3a3	0xc0	CODE
0012e3a4	0012e3a7	0x4	UNDEFINED
0012e3a8	0012e3af	0x8	CODE
0012e3b0	0012e3b3	0x4	DATA
0012e3b4	0012e3cf	0x1c	UNDEFINED
0012e3d0	0012e497	0xc8	CODE
0012e498	0012e4db	0x44	UNDEFINED
0012e4dc	0012e527	0x4c	CODE
0012e528	0012e547	0x20	UNDEFINED
0012e548	0012e55b	0x14	CODE
0012e55c	0012e55f	0x4	DATA
0012e560	0012e5d3	0x74	CODE
0012e5d4	0012e5e3	0x10	UNDEFINED
0012e5e4	0012e60f	0x2c	CODE
0012e610	0012e627	0x18	UNDEFINED
0012e628	0012e667	0x40	CODE
0012e668	0012e67b	0x14	UNDEFINED
0012e67c	0012e747	0xcc	CODE
0012e748	0012e757	0x10	UNDEFINED
0012e758	0012e81f	0xc8	CODE
0012e820	0012e857	0x38	UNDEFINED
0012e858	0012e8c7	0x70	CODE
0012e8c8	0012e8cb	0x4	UNDEFINED
0012e8cc	0012ea77	0x1ac	CODE
0012ea78	0012ea83	0xc	UNDEFINED
0012ea84	0012eb8f	0x10c	CODE
0012eb90	0012eb97	0x8	UNDEFINED
0012eb98	0012eb9b	0x4	DATA
0012eb9c	0012eba3	0x8	UNDEFINED
0012eba4	0012ebab	0x8	DATA
0012ebac	0012ebbf	0x14	UNDEFINED
0012ebc0	0012ebcf	0x10	DATA
0012ebd0	0012ec0f	0x40	UNDEFINED
0012ec10	0012ec2b	0x1c	DATA
0012ec2c	0012ff3e	0x1313	UNDEFINED
0012ff3f	0012ff46	0x8	DATA
0012ff47	0012ff79	0x33	UNDEFINED
0012ff7a	0012ff7f	0x6	DATA
0012ff80	00130013	0x94	UNDEFINED
00130014	00130053	0x40	DATA
00130054	00130057	0x4	UNDEFINED
00130058	00130087	0x30	DATA
00130088	00130763	0x6dc	UNDEFINED
00130764	00130773	0x10	DATA
00130774	0013077b	0x8	UNDEFINED
0013077c	0013078b	0x10	DATA
0013078c	001307a3	0x18	UNDEFINED
001307a4	001307a5	0x2	DATA
001307a6	001307df	0x3a	UNDEFINED
001307e0	00130813	0x34	DATA
00130814	0013082b	0x18	UNDEFINED
0013082c	0013084b	0x20	DATA
0013084c	00130857	0xc	UNDEFINED
00130858	00130863	0xc	DATA
00130864	0013086f	0xc	UNDEFINED
00130870	001308ab	0x3c	DATA
001308ac	001308af	0x4	UNDEFINED
001308b0	001308cb	0x1c	DATA
001308cc	001308cf	0x4	UNDEFINED
001308d0	001308eb	0x1c	DATA
001308ec	001308ef	0x4	UNDEFINED
001308f0	001308ff	0x10	DATA
00130900	00130b5f	0x260	UNDEFINED
00130b60	00130b6b	0xc	DATA
00130b6c	00130c6f	0x104	UNDEFINED
00130c70	00130c73	0x4	DATA
00130c74	00130caf	0x3c	UNDEFINED
00130cb0	00130cdf	0x30	DATA
00130ce0	00130ce3	0x4	UNDEFINED
00130ce4	00130ce4	0x1	DATA
00130ce5	00130d23	0x3f	UNDEFINED
00130d24	00130d5f	0x3c	DATA
00130d60	00130d6b	0xc	UNDEFINED
00130d6c	00130d7f	0x14	DATA
00130d80	00130d8b	0xc	UNDEFINED
00130d8c	00130dab	0x20	DATA
00130dac	00130db9	0xe	UNDEFINED
00130dba	00130de4	0x2b	DATA
00130de5	00130de7	0x3	UNDEFINED
00130de8	00130e0b	0x24	DATA
00130e0c	0013130b	0x500	UNDEFINED
0013130c	00131313	0x8	DATA
00131314	00131317	0x4	UNDEFINED
00131318	00131318	0x1	DATA
00131319	0013131b	0x3	UNDEFINED
0013131c	0013131f	0x4	DATA
00131320	00131323	0x4	UNDEFINED
00131324	0013132f	0xc	DATA
00131330	001313db	0xac	UNDEFINED

TOTAL	CODE	0x28d7a	167290
TOTAL	DATA	0x15f1	5617
TOTAL	UNDEFINED	0x7071	28785
